"","Location","TimeFrame","DataFormat","Child Poverty","Unemployment","Child","Total"
"1","Anderson",2011,"Number",3051,1980,11480,58727
"2","Andrews",2011,"Number",836,388,4451,15327
"3","Angelina",2011,"Number",6608,3114,23466,88214
"4","Aransas",2011,"Number",1674,881,4453,23334
"5","Archer",2011,"Number",340,295,2103,8913
"6","Armstrong",2011,"Number",67,49,411,1935
"7","Atascosa",2011,"Number",4144,1567,13115,46363
"8","Austin",2011,"Number",1415,1170,7077,28673
"9","Bailey",2011,"Number",632,243,2248,7264
"10","Bandera",2011,"Number",902,676,3943,20676
"11","Bastrop",2011,"Number",4345,2801,19725,75906
"12","Baylor",2011,"Number",244,113,759,3746
"13","Bee",2011,"Number",2478,1083,6992,32310
"14","Bell",2011,"Number",20447,10982,90813,317759
"15","Bexar",2011,"Number",119063,60889,473403,1756262
"16","Blanco",2011,"Number",471,314,2257,10672
"17","Borden",2011,"Number",21,21,128,646
"18","Bosque",2011,"Number",1053,705,4095,18356
"19","Bowie",2011,"Number",6190,3512,22403,93275
"20","Brazoria",2011,"Number",14645,13221,88460,319949
"21","Brazos",2011,"Number",9508,6398,41364,198311
"22","Brewster",2011,"Number",422,273,1903,9333
"23","Briscoe",2011,"Number",105,46,358,1652
"24","Brooks",2011,"Number",969,301,1988,7272
"25","Brown",2011,"Number",2692,1353,9092,38341
"26","Burleson",2011,"Number",1044,549,4078,17469
"27","Burnet",2011,"Number",2604,1424,9845,43348
"28","Caldwell",2011,"Number",2626,1425,9836,38583
"29","Calhoun",2011,"Number",1488,950,5581,21460
"30","Callahan",2011,"Number",789,437,3169,13516
"31","Cameron",2011,"Number",62449,19171,135505,414348
"32","Camp",2011,"Number",1148,517,3328,12467
"33","Carson",2011,"Number",197,164,1566,6281
"34","Cass",2011,"Number",1783,1443,6997,30401
"35","Castro",2011,"Number",789,207,2499,8120
"36","Chambers",2011,"Number",1365,1576,10060,35996
"37","Cherokee",2011,"Number",4242,1901,13234,51298
"38","Childress",2011,"Number",464,196,1497,7065
"39","Clay",2011,"Number",424,358,2398,10791
"40","Cochran",2011,"Number",289,124,882,3110
"41","Coke",2011,"Number",135,92,673,3320
"42","Coleman",2011,"Number",721,304,1945,8919
"43","Collin",2011,"Number",22661,30552,230052,812435
"44","Collingsworth",2011,"Number",312,76,842,3075
"45","Colorado",2011,"Number",1251,805,4910,20914
"46","Comal",2011,"Number",3993,3810,26053,112171
"47","Comanche",2011,"Number",1154,452,3317,13983
"48","Concho",2011,"Number",181,108,576,4138
"49","Cooke",2011,"Number",2255,1259,9759,38675
"50","Coryell",2011,"Number",4650,2280,21565,76313
"51","Cottle",2011,"Number",109,49,342,1518
"52","Crane",2011,"Number",191,129,1268,4409
"53","Crockett",2011,"Number",250,115,978,3734
"54","Crosby",2011,"Number",681,241,1705,6078
"55","Culberson",2011,"Number",249,71,649,2393
"56","Dallam",2011,"Number",458,174,2038,6868
"57","Dallas",2011,"Number",197527,98479,660730,2403579
"58","Dawson",2011,"Number",1059,440,3392,13849
"59","Deaf Smith",2011,"Number",1899,526,6249,19569
"60","Delta",2011,"Number",373,207,1152,5224
"61","Denton",2011,"Number",21436,26031,187429,686455
"62","DeWitt",2011,"Number",1258,656,4555,20574
"63","Dickens",2011,"Number",165,141,479,2441
"64","Dimmit",2011,"Number",1177,384,3074,10472
"65","Donley",2011,"Number",235,119,738,3686
"66","Duval",2011,"Number",1176,509,3046,11806
"67","Eastland",2011,"Number",1244,661,4135,18564
"68","Ector",2011,"Number",8537,4568,40252,139259
"69","Edwards",2011,"Number",152,69,411,2017
"70","El Paso",2011,"Number",82394,33682,242792,821525
"71","Ellis",2011,"Number",7596,6039,43490,153134
"72","Erath",2011,"Number",2164,1203,8589,38621
"73","Falls",2011,"Number",1328,654,3820,17899
"74","Fannin",2011,"Number",1982,1361,7498,34237
"75","Fayette",2011,"Number",1175,735,5480,25358
"76","Fisher",2011,"Number",182,129,848,3951
"77","Floyd",2011,"Number",584,254,1817,6445
"78","Foard",2011,"Number",70,50,272,1346
"79","Fort Bend",2011,"Number",21251,22039,177450,607995
"80","Franklin",2011,"Number",741,392,2591,10639
"81","Freestone",2011,"Number",976,660,4633,20022
"82","Frio",2011,"Number",1706,589,4237,17634
"83","Gaines",2011,"Number",1532,431,6207,17844
"84","Galveston",2011,"Number",15826,13466,74697,296345
"85","Garza",2011,"Number",375,187,1269,6537
"86","Gillespie",2011,"Number",1015,673,5043,25201
"87","Glasscock",2011,"Number",60,30,338,1242
"88","Goliad",2011,"Number",393,221,1605,7300
"89","Gonzales",2011,"Number",1995,587,5414,20157
"90","Gray",2011,"Number",1092,696,5655,22760
"91","Grayson",2011,"Number",6755,4871,29059,121800
"92","Gregg",2011,"Number",7987,4514,31279,123239
"93","Grimes",2011,"Number",1524,968,6060,27062
"94","Guadalupe",2011,"Number",5930,4388,37092,136116
"95","Hale",2011,"Number",3813,1271,10537,36664
"96","Hall",2011,"Number",349,126,864,3408
"97","Hamilton",2011,"Number",505,261,1813,8585
